微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItAESjhMg,Nimaryujen,女,西藏,377,61,Nimaryujen:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:58,0,0,0
ItAESjgKQ,超级admin王子,男,江苏,548,241,超级admin王子:分享网易新闻《网传江苏对口支援孝感，官方澄清：是黄石》网传江苏对口支援孝感，官方澄清：是黄石 来自@网易新闻客户端 #网易新闻#  ,2020/2/10 20:58,1,0,2
ItAESjgeb,想烫头的孩,女,其他,743,214,想烫头的孩:#支援抗疫医疗废物处置# 小善意，大温暖。我在“支援抗疫医疗废物处置”项目捐款成功！愿点滴之举温暖更多心灵。@中华环境保护基金会支援抗疫医疗废物处置  ,2020/2/10 20:58,0,0,0
ItAERFOWK,武林萌鼠,女,海外,438,85,武林萌鼠:#江苏医疗队行李丢失#什么玩意，怎么好好的行李就落地蒸发了？？？这些去的精英都是我们的宝贝，能别让支援的人寒心吗？他们的行李究竟去哪了！！！！！！  ,2020/2/10 20:58,0,0,0
ItAERodiv,四郎深夜食堂,男,北京,385,981563,四郎深夜食堂:#武汉加油##外省支援湖北对口支援表# 有位粉丝朋友是外省的小儿外科护士，却义无反顾报名去湖北武汉前线支援！不知道说些什么！希望她一切都好，平平安安归来，真棒  [组图共2张] 原图 ,2020/2/10 20:58,20,1,8
ItB3Nomg1,Heartworm人间疾苦,女,湖南,188,28,Heartworm人间疾苦:#外省支援湖北对口支援表#愿平安  原图 ,2020/2/10 21:59,2,0,0
ItB3Na3Xw,关乔雯o3o,女,重庆,369,953,关乔雯o3o:#支援抗疫医疗废物处置# 小善意，大温暖。我在“支援抗疫医疗废物处置”项目捐款成功！愿点滴之举温暖更多心灵。@中华环境保护基金会支援抗疫医疗废物处置  ,2020/2/10 21:59,0,0,1
ItB3MwnUI,幸运的lucky2019,男,北京,155,4,幸运的lucky2019:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 21:59,1,0,0
ItB3MeLzx,用户6675971674,女,辽宁,308,7,用户6675971674:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 21:59,0,0,0
ItB3L2kFP,平凡之路bkzd,女,新疆,1275,281,平凡之路bkzd:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 21:59,0,0,0
ItB3L6FvM,小慢MUMU,女,上海,2172,69,小慢MUMU:又有人揶揄我是万万不敢生二胎的，万一二胎又是个儿子呢？一个儿子一套房，压力压死我。我：“我买房的时候双方父母支援为零，为什么我可以自己买，我儿子会做不到呢？”再往前溯，我爸是贫农，在80年代就敢口袋空空出去大城市闯荡，并且完全可以在大城市安家（当然后面回老家置业定居实在是个大败笔）。为什么这么多人只盯着父母手上的那点小小的存量，看不到世界这么大，还有那么多的增量等着你去创造呢？从存量上看，多一个兄弟姐妹会多分走父母的一些东西，但是从增量上看呢？你们携手可以创造远远大于父母手上的那点东西。PS：某对父母在女儿结婚的时候说房子天经地义归儿子，本来无心争产的女儿一肚子怨气，之后又对儿子说房子不一定给你(看你表现)，闹得儿子也一肚子怨气——我又没捞着，白受了来自姐姐的怨气。这对父母可谓是挑拨子女关系的负面典型了。 ,2020/2/10 21:59,1,0,0
ItB3I8gfm,一雪儿My,女,四川,78,43,一雪儿My:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 21:59,0,0,0
